Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date
28 Weeks Later,1562,Horror,DNA Films,15000000,64238440,"In this chilling sequel to 28 Days Later, the inhabitants of the British Isles appear to have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",2007-04-26
Ghost Rider,1250,Thriller,Crystal Sky Pictures,110000000,228738393,"In order to save his dying father, young stunt cyclist, Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted, Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.",2007-02-16
Ocean's Thirteen,298,Crime,Section Eight,85000000,311312624,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.",2007-06-07
Gone Baby Gone,4771,Crime,Miramax Films,19000000,34619699,"When 4 year old Amanda McCready disappears from her home and the police make little headway in solving the case, the girl's aunt, Beatrice McCready hires two private detectives, Patrick Kenzie and Angie Gennaro. The detectives freely admit that they have little experience with this type of case, but the family wants them for two reasons - they're not cops and they know the tough neighborhood in which they all live. As the case progresses, Kenzie and Gennaro face drug dealers, gangs and pedophiles. When they are about to solve the case, they are faced with a moral dilemma that tears them apart.",2007-10-19
Superbad,8363,Comedy,Columbia Pictures,20000000,121463226,"High school best buddies are facing separation anxiety as they prepare to go off to college. While attempting to score alcohol for a party with help from a fake ID-toting friend, the guys' evening takes a turn into chaotic territory.",2007-08-17
Beowulf,2310,Adventure,Paramount Animation,70000000,195735876,"6th-century Scandinavian warrior, Beowulf embarks on a mission to slay the manlike ogre Grendel, a descendant of Cain.",2007-11-05
The Assassination of Jesse James by the Coward Robert Ford,4512,Action,Plan B Entertainment,30000000,14711793,"Outlaw Jesse James is rumored to be the 'fastest gun in the West'. An eager recruit into James' notorious gang, Robert Ford eventually grows jealous of the famed outlaw and, when Robert and his brother sense an opportunity to kill James, their murderous action elevates their target to near mythical status.",2007-09-02
Ratatouille,2062,Animation,Pixar,150000000,623722818,"A rat named Remy dreams of becoming a great French chef despite his family's wishes and the obvious problem of being a rat in a decidedly rodent-phobic profession. When fate places Remy in the sewers of Paris, he finds himself ideally situated beneath a restaurant made famous by his culinary hero, Auguste Gusteau. Despite the apparent dangers of being an unlikely - and certainly unwanted - visitor in the kitchen of a fine French restaurant, Remy's passion for cooking soon sets into motion a hilarious and exciting rat race that turns the culinary world of Paris upside down.",2007-06-22
3:10 to Yuma,5176,Western,Lionsgate,55000000,70016220,"In Arizona in the late 1800s, infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured, Civil War veteran Dan Evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the ""3:10 to Yuma"", a train that will take the killer to trial.",2007-09-06
Shooter,7485,Action,Grosvenor Park Impact Productions,61000000,95696996,"A marksman living in exile is coaxed back into action after learning of a plot to kill the president. Ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why.",2007-03-22
National Treasure: Book of Secrets,6637,Action,Walt Disney Pictures,130000000,457363168,"Benjamin Franklin Gates and Dr. Abigail Chase re-team with Riley Poole and, now armed with a stack of long-lost pages from John Wilkes Booth's diary, Ben must follow a clue left there to prove his ancestor's innocence in the assassination of Abraham Lincoln.",2007-12-13
The Bourne Ultimatum,2503,Action,Universal Pictures,70000000,442824138,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",2007-08-03
[REC],8329,Horror,Filmax,1500000,30448000,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,2007-04-10
Rush Hour 3,5174,Action,New Line Cinema,140000000,258022233,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",2007-08-08
Atonement,4347,Drama,Universal Pictures,30000000,129266061,"As a 13-year-old, fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",2007-08-29
Juno,7326,Comedy,Mandate Pictures,7500000,231411584,"A young girl named Juno gets herself pregnant and tries to stand on her own, but soon learns a few lessons about being grown up.",2007-12-05
The Mist,5876,Horror,Darkwoods Productions,18000000,57096190,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.",2007-11-21
Planet Terror,1992,Horror,Dimension Films,0,0,"Two doctors find their graveyard shift inundated with townspeople ravaged by sores. Among the wounded is Cherry, a dancer whose leg was ripped from her body. As the invalids quickly become enraged aggressors, Cherry and her ex-boyfriend Wray lead a team of accidental warriors into the night.",2007-04-06
No Country for Old Men,6977,Crime,Paramount Vantage,25000000,171600000,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",2007-11-08
Sunshine,1272,Science Fiction,UK Film Council,50000000,32017803,"Fifty years into the future, the sun is dying, and Earth is threatened by arctic temperatures. A team of astronauts is sent to revive the Sun — but the mission fails. Seven years later, a new team is sent to finish the mission as mankind’s last hope.",2007-04-05
Eastern Promises,2252,Thriller,Focus Features,51500000,55112356,"A Russian teenager, living in London, dies during childbirth but leaves clues to a midwife in her journal, that could tie her child to a rape involving a violent Russian mob family.",2007-09-14
Disturbia,8271,Thriller,"Montecito Picture Company, The",20000000,117760134,"Kale is a 17-year-old placed under house arrest after punching his teacher. He is confined to his house, and decides to use his free time spying on his neighbors. Things start to get weird when guests enter the Turner's house and don't come back out. Kale and his friends, Ronnie and Ashley, start to grow more and more interested in what is actually happening within the house of Robert Turner.",2007-04-12
The Reaping,1683,Thriller,Dark Castle Entertainment,40000000,62771059,"Katherine Morrissey, a former Christian missionary, lost her faith after the tragic deaths of her family. Now she applies her expertise to debunking religious phenomena. When a series of biblical plagues overrun a small town, Katherine arrives to prove that a supernatural force is not behind the occurrences, but soon finds that science cannot explain what is happening. Instead, she must regain her faith to combat the evil that waits in a Louisiana swamp.",2007-04-05
Martian Child,5126,Drama,New Line Cinema,0,0,"A recently-widowed, science fiction writer considers whether to adopt a hyper-imaginative 6-year-old abandoned and socially-rejected boy who says he's really from Mars.",2007-11-02
The Man from Earth,13363,Science Fiction,Falling Sky Entertainment,0,0,"An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he never ages and has walked the earth for 14,000 years.",2007-06-10
TMNT,1273,Adventure,The Weinstein Company,34000000,95608995,"After the defeat of their old arch nemesis, The Shredder, the Turtles have grown apart as a family. Struggling to keep them together, their rat sensei, Splinter, becomes worried when strange things begin to brew in New York City.",2007-03-23
Big Stan,13161,Comedy,From Out of Nowhere Productions,0,0,Rob Schneider writes and stars in this comedy about a nerdy con man whose swindling ways land him a stiff prison sentence. Terrified at the prospect of being raped in prison he enlists the aid of a mysterious kung-fu expert to teach him how to fight.,2007-06-06
Pathfinder,1534,Adventure,Dune Entertainment,45000000,30822861,"A Viking boy is left behind after his clan battles a Native American tribe. Raised within the tribe, he ultimately becomes their savior in a fight against the Norsemen.",2007-01-11
Shoot 'Em Up,4141,Action,New Line Cinema,39000000,26820641,"A man named Mr. Smith delivers a woman's baby during a shootout, and is then called upon to protect the newborn from the army of gunmen.",2007-07-26
Aliens vs Predator: Requiem,440,Fantasy,Dune Entertainment,40000000,41797066,"A sequel to 2004's Alien vs. Predator, the iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever - in our own backyard. The small town of Gunnison, Colorado becomes a war zone between two of the deadliest extra-terrestrial life forms - the Alien and the Predator. When a Predator scout ship crash-lands in the hills outside the town, Alien Facehuggers and a hybrid Alien/Predator are released and begin to terrorize the town.",2007-12-25
1408,3021,Horror,Di Bonaventura Pictures,25000000,94679598,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",2007-07-12
Reservation Road,8954,Drama,Nick Wechsler/Miracle Pictures,0,0,"Two fathers' lives intersect when one of them is involved in a terrible and sudden hit-and-run car accident that leaves the other's son dead. In response, the two men (Joaquin Phoenix and Mark Ruffalo) react in unexpected ways as a reckoning looms in the near future.",2007-09-13
The Nines,12994,Drama,Jinks/Cohen Company,0,0,"A troubled actor, a television show runner, and an acclaimed videogame designer find their lives intertwining in mysterious and unsettling ways.",2007-01-21
Bridge to Terabithia,1265,Adventure,Lauren Levine Productions Inc.,60000000,137587063,"Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen.",2007-02-16
Evan Almighty,2698,Fantasy,Playtone,175000000,173000000,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,2007-06-09
The Brave One,4413,Crime,Village Roadshow Pictures,70000000,69766619,A woman struggles to recover from a brutal attack by setting out on a mission for revenge.,2007-09-14
The Kingdom,4349,Thriller,Universal Pictures,70000000,86658558,A team of U.S. government agents is sent to investigate the bombing of an American facility in the Middle East.,2007-08-22
Death at a Funeral,2196,Comedy,Target Media Entertainment,9,8,Chaos ensues when a man tries to expose a dark secret regarding a recently deceased patriarch of a dysfunctional British family.,2007-02-09
The Great Debaters,14047,Drama,Marshall Production,15000000,30226144,The true story of a brilliant but politically radical debate team coach who uses the power of words to transform a group of underdog African American college students into an historical powerhouse that took on the Harvard elite.,2007-12-27
Lars and the Real Girl,6615,Comedy,Sidney Kimmel Entertainment,12000000,11293663,"Sometimes you find love where you'd least expect it. Just ask Lars, a sweet but quirky guy who thinks he's found the girl of his dreams in a life-sized doll named Bianca. Lars is completely content with his artificial girlfriend, but when he develops feelings for Margo, an attractive co-worker, Lars finds himself lost in a unique love triangle, hoping to somehow discover the real meaning of true love.",2007-10-12
Rogue,13022,Action,Dimension Films,0,0,"From the director of Wolf Creek comes this terrifying look at nature's perfect killing machine. When a group of tourists stumble into the remote Australian river territory of an enormous crocodile, the deadly creature traps them on a tiny mud island with the tide quickly rising and darkness descending. As the hungry predator closes in, they must fight for survival against all odds.",2007-11-08
P2,13474,Horror,Summit Entertainment,8000000,7766240,"Angela, a corporate climber, gets stuck working late on Christmas Eve and finds herself the target of an unhinged security guard. With no help in sight, the woman must overcome physical and psychological challenges to survive.",2007-11-09
Are We Done Yet?,10172,Comedy,Revolution Dream Productions,0,58400000,Newlyweds Nick and Suzanne decide to move to the suburbs to provide a better life for their two kids. But their idea of a dream home is disturbed by a contractor with a bizarre approach to business.,2007-04-04
Hitman,1620,Action,Anka Film,24000000,99965753,"The best-selling videogame, Hitman, roars to life with both barrels blazing in this hardcore action-thriller starring Timothy Olyphant. A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",2007-11-21
Silk,14753,Drama,Rhombus Media,20000000,0,"Based on the best-selling novel by Alessandro Baricco, this visually stunning film tells the story of a French trader who finds unexpected love far away from home.",2007-09-14
Jackass 2.5,14158,Comedy,Paramount Pictures Digital Entertainment,0,0,"The crew have now set off to finish what as left over from Jackass 2.0, and in this version they have Wee Man use a 'pee' gun on themselves, having a mini motor bike fracas in the grocery mall, a sperm test, a portly crew member disguised as King Kong, as well as include three episodes of their hilarious adventures in India.",2007-12-18
The Orphanage,6537,Horror,Picturehouse,0,44000000,"A woman brings her family back to her childhood home, which used to be an orphanage, intent on reopening it. Before long, her son starts to communicate with a new invisible friend.",2007-08-27
Surf's Up,9408,Animation,Columbia Pictures,85000000,149044513,"Cody is a surfing penguin from Shiverpool who dreams of making it big and being like his idol Big Z. On his journey he discovers his talents are not all he thinks they are and he must learn to accept that their is more to surfing than fame and fortune.  Surf's Up is a 2007 American computer-animated mockumentary film produced by Sony Pictures Animation and distributed by Columbia Pictures and ImageWorks Studios. It stars the voices of Shia LaBeouf, Jeff Bridges, Zooey Deschanel, Jon Heder among others.",2007-06-08
Before the Devil Knows You're Dead,7972,Crime,Michael Cerenzie Productions,18000000,25005257,"When two brothers organize the robbery of their parents' jewelry store, the job goes horribly wrong, triggering a series of events that send them and their family hurtling towards a shattering climax.",2007-09-26
Code Name: The Cleaner,14396,Action,New Line Cinema,20000000,10337477,"Cedric the Entertainer plays Jake, a seemingly regular guy who has no idea who he is after being hit over the head by mysterious assailants. When he finds himself entangled in a government conspiracy, Jake and his pursuers become convinced that he is an undercover agent.",2007-01-05
Awake,13483,Thriller,GreeneStreet Films,86000000,14373825,"While undergoing heart surgery, a man experiences a phenomenon called ‘anesthetic awareness’, which leaves him awake but paralyzed throughout the operation. As various obstacles present themselves, his wife must make life-altering decisions while wrestling with her own personal drama.",2007-11-28
Battle for Terra,16873,Action,MeniThings LLC,4000000,6101046,"A peaceful alien planet faces annihilation, as the homeless remainder of the human race sets its eyes on Terra. Mala, a rebellious Terrian teenager, will do everything she can to stop it.",2007-09-06
Timecrimes,14139,Science Fiction,Arsénico Producciones,2600000,553198,A man accidentally gets into a time machine and travels back in time nearly an hour. Finding himself will be the first of a series of disasters of unforeseeable consequences.,2007-10-05
The Heartbreak Kid,9038,Comedy,Conundrum Entertainment,60000000,127766650,"Eddie, the 40-year-old confirmed bachelor finally says ""I do"" to the beautiful and sexy Lila. But during their honeymoon in Mexico, the woman of his dreams turns out to be a total nightmare, and the guy who could never pull the trigger realizes he’s jumped the gun.",2007-10-05
My Blueberry Nights,1989,Drama,Block 2 Pictures,10000000,21786738,"Elizabeth has just been through a particularly nasty breakup, and now she's ready to leave her friends and memories behind as she chases her dreams across the country. In order to support herself on her journey, Elizabeth picks up a series of waitress jobs along the way. As Elizabeth crosses paths with a series of lost souls whose yearnings are even greater than her own, their emotional turmoil ultimately helps her gain a greater understanding of her own problems...",2007-05-16
Trick 'r Treat,23202,Horror,Legendary Pictures,12000000,0,Four interwoven stories that occur on Halloween: an everyday high school principal has a secret life as a serial killer; a college virgin might have just met the one guy for her; a group of teenagers pull a mean prank; a bitter old recluse receives an uninvited guest.,2007-10-05
Nancy Drew,14043,Action,Jerry Weintraub Productions,0,0,Intrepid teenage private eye Nancy Drew heads to Tinseltown with her father to investigate the unsolved murder of a movie star in this old-fashioned whodunit based on Carolyn Keene's popular series of books for young adults. But can the small-town girl cut through the Hollywood hype to solve the case?,2007-06-15
Cinderella III: A Twist in Time,16119,Animation,DisneyToon Studios,0,0,"When Lady Tremaine steals the Fairy Godmother's wand and changes history, it's up to Cinderella to restore the timeline and reclaim her prince.",2007-02-06
In the Name of the King: A Dungeon Siege Tale,2312,Adventure,Boll Kino Beteiligungs GmbH & Co. KG,60000000,0,"A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son -- two acts committed by the Krugs, a race of animal-warriors who are controlled by the evil Gallian.",2007-11-29
Blades of Glory,9955,Comedy,DreamWorks,53000000,0,"When a much-publicized ice-skating scandal strips them of their gold medals, two world-class athletes skirt their way back onto the ice via a loophole that allows them to compete together as a pairs team.",2007-03-30
I Now Pronounce You Chuck & Larry,3563,Comedy,Happy Madison Productions,85000000,186072214,"Firefighters Chuck Ford and Larry Valentine are guy's guys, loyal to the core – which is why, when widower Larry asks Chuck to pose as his gay lover so that he can get domestic partner benefits for his kids, his buddy agrees. However, things get dicey when a bureaucrat comes calling, and the boys are forced to present a picture of domestic bliss.",2007-07-12
30 Days of Night,4513,Horror,HorrorFlix,30000000,75505973,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",2007-10-17
Like Stars on Earth,7508,Drama,Aamir Khan Productions,2600000,28430000,"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don't seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.",2007-12-21
Sukiyaki Western Django,13637,Adventure,Sony Music Entertainment Japan,3800000,2725258,"Several hundred years after the Battle of Dannoura, the Genji and Heike clans face off again in a poor mountain town with a buried treasure legend. A revolver-wielding stranger, a lone gunman, burdened with emotional scars and blessed with incredible skill, drifts into town and crosses paths with two warring clans who are both on the hunt for a hidden treasure in a remote western town. Knowing his services are valuable to either side, he offers himself to the clan who will offer up the largest share of the wealth.  Yoshitsune commands his Genji gang in white while Kiyomori leads his Heike gang in red. Expectations collide as the key players wonder which gang the gunman will join. Dirty tricks, betrayal, desire and finally, love, get jumbled together, as the situation erupts into a showdown.",2007-09-15
Boogeyman 2,14913,Horror,Destination Films,4500000,0,"A young woman attempts to cure her phobia of the boogeyman by checking herself into a mental health facility, only to realize too little too late that she is now helplessly trapped with her own greatest fear.",2007-10-20
5 Centimeters per Second,38142,Animation,CoMix Wave,5000000,0,"Takaki and Akari are two classmates in elementary school. During their time together they have become close friends. Their relationship is tested when Akari moves to another city because of her parents' jobs. Both of them struggle to keep their friendship alive, as time and distance slowly pulls them apart. When Takaki finds out that he is moving further away, he decides to visit Akari one last time.",2007-03-03
WΔZ,15069,Crime,Vertigo Films,0,0,"There is something horribly wrong with the bodies found in the dark city streets. Some are mutilated while others have the Price equation (wΔz = Cov (w,z) = βwzVz) carved into their flesh. Detective Eddie Argo and his new partner Helen Westcott unearth the meaning of the odd equation and realise each victim is being offered a gruesome choice: kill your loved ones, or be killed. Before long it becomes clear that the perpetrator has suffered a similar fate and is now coping by seeking a way to solve this philosophical dilemma.",2007-05-19
The Last Legion,9703,Action,Dino De Laurentiis Company,67000000,25303038,"As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.",2007-04-19
Sydney White,10760,Comedy,Clifford Werber Productions,16500000,13620075,A modern retelling of Snow White set against students in their freshman year of college in the greek system.,2007-09-21
Hunting and Gathering,2882,Romance,TF1 Films Productions,0,0,"When Camille falls ill, she is forced to live with Philibert and Franck.",2007-02-10
Michael Clayton,4566,Drama,Castle Rock Entertainment,25000000,92991835,A law firm brings in its 'fixer' to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.,2007-09-28
The Game Plan,13680,Comedy,Monkey Dance Productions,22000000,147880543,"Bachelor football star Joe Kingman seems to have it all. He is wealthy and carefree, and his team is on the way to capturing a championship. Suddenly, he is tackled by some unexpected news: He has a young daughter, the result of a last fling with his ex-wife. Joe must learn to balance his personal and professional lives with the needs of his child.",2007-09-28
Crows Zero,14943,Action,Happinet Pictures,0,0,"The students of Suzuran High compete for the King of School title. An ex-graduate yakuza is sent to kill the son of a criminal group, but he can't make himself to do it as he reminds him of his youth.",2007-10-26
August Rush,5123,Family,CJ Entertainment,25000000,66122026,"A drama with fairy tale elements, where an orphaned musical prodigy uses his gift as a clue to finding his birth parents.",2007-11-21
American Pie Presents: Beta House,8277,Comedy,Rogue Pictures,0,0,"Erik, Ryan, and Cooze start college and pledge the Beta House fraternity, presided over by none other than legendary Dwight Stifler. But chaos ensues when a fraternity of geeks threatens to stop the debauchery and the Betas have to make a stand for their right to party.",2007-12-10
Diary of the Dead,13025,Horror,Artfire Films,2000000,5364858,A group of young film students run into real-life zombies while filming a horror movie of their own.,2007-09-08
Ben X,6936,Drama,MMG Film & TV Production,1500000,0,"Harassed by bullies because of his mild autism, teen Ben (Greg Timmermans) finds refuge in an online computer game, which leads him to his virtual dream girl, Scarlite (Laura Verlinden). Together, the odd couple seeks revenge against Ben's tormentors. Director Nic Balthazar's beguiling mix of kitchen-sink drama and full-blown fantasy was Belgium's Oscar submission for Best Foreign Language Film.",2007-08-26
La Vie en Rose,1407,Music,Sofica Valor 7,0,0,"A swirling, impressionistic portrait of an artist who regretted nothing, writer-director Olivier Dahan's La Vie en Rose stars Marion Cotillard in a blazing performance as the legendary French icon Edith Piaf. From the mean streets of the Belleville district of Paris to the dazzling limelight of New York's most famous concert halls, Piaf's life was a constant battle to sing and survive, to live and love. Raised in her grandmother's brothel, Piaf was discovered in 1935 by nightclub owner Louis Leplee (Gerard Depardieu), who persuaded her to sing despite her extreme nervousness. Piaf became one of France's immortal icons, her voice one of the indelible signatures of the 20th Century.",2007-02-08
Underdog,6589,Action,Walt Disney Pictures,25000000,65270477,A lab accident gives a hound named Shoeshine some serious superpowers -- a secret that the dog eventually shares with the young boy who becomes his owner and friend.,2007-08-03
Scar,24499,Crime,Norman Twain Productions,0,0,"Joan Burrows returns to her hometown for her niece's graduation, only to be confronted by the serial killer she thought she offed years ago -- after he kidnapped and tormented her and her best friend.",2007-05-19
The Fall,14784,Adventure,Absolute Entertainment,30000000,3669465,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story about 5 mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality starts to blur as the tale advances.",2007-02-10
Species: The Awakening,15212,Horror,360 Pictures,3800000,0,"A scientist, Dr Holander, takes his niece Miranda to Mexico in an attempt to reverse the effects of the alien DNA he used to create her. However the treatment goes horribly wrong, and sets Miranda on a killing spree as she sets out to find a mate.",2007-10-02
Music and Lyrics,11172,Comedy,Castle Rock Entertainment,40000000,145896422,"A washed up singer is given a couple days to compose a chart-topping hit for an aspiring teen sensation. Though he's never written a decent lyric in his life, he sparks with an offbeat younger woman with a flair for words.",2007-02-09
